steam,409710,BioShock™ Remastered,2K Boston,2K,29-May-20,switch,BioShock Remastered,Virtuos,Virtuos,15-Sep-16,26.66666667
steam,409720,BioShock™ 2 Remastered,2K Marin,2K,29-May-20,switch,BioShock 2 Remastered,Virtuos,Virtuos,15-Sep-16,14.28571429
steam,412270,Stories of Bethem: Full Moon,GuGames Development,GuGames Development,2-Sep-16,xboxone,Stories of Bethem: Full Moon,GuGames DEV,GuGames DEV,11-Dec-15,55.55555556
steam,414740,RAID: World War II,Lion game Lion,Starbreeze Publishing AB,10-Oct-17,ps4,Raid: World War II,Starbreeze,505 Games,26-Sep-17,66.66666667
steam,415420,Nyan Cat: Lost In Space,isTom Games Kft.,isTom Games Kft.,28-Nov-19,switch,Nyan Cat: Lost In Space,isTom Games,isTom Games,4-Dec-15,76.92307692
steam,437900,Party Jousting,vikingfabian.com,vikingfabian.com,4-Dec-18,xboxone,Party Jousting,Fabian Viking,Fabian Viking,1-Mar-16,44.44444444
steam,444770,Mimpi Dreams,Dreadlocks Mobile,Dreadlocks Mobile,15-Nov-18,switch,Mimpi Dreams,Dreadlocks,Dreadlocks,22-Mar-16,76.92307692
steam,466130,White Day: A Labyrinth Named School,SONNORI Corp,PQube Limited,29-Aug-17,ps4,White Day: A Labyrinth Named School,ROIGAMES Inc.,PQube,22-Aug-17,58.82352941
steam,488460,Zeus Quest Remastered,Crazysoft Limited,Crazysoft Limited,19-Mar-18,ps4,Zeus Quest Remastered,CrazySoft,CrazySoft,19-Jun-16,72
steam,47890,The Sims™ 3,The Sims Studio,Electronic Arts,22-Mar-11,3ds,The Sims 3,EA Games,EA Games,27-Jan-11,25
steam,47936,The Sims™ 3,The Sims Studio,Electronic Arts,22-Mar-11,3ds,The Sims 3,EA Games,EA Games,27-Jan-11,25
steam,510620,THOTH,Carlsen Games,Double Fine Presents,9-Jan-20,switch,THOTH,Jeppe Carlsen,Jeppe Carlsen,7-Oct-16,73.68421053
steam,563190,de Blob 2,Blue Tongue Entertainment,THQ Nordic,31-Dec-98,3ds,de Blob 2,THQ,THQ,22-Jun-17,50
steam,570940,DARK SOULS™: REMASTERED,QLOC,"FromSoftware, Inc",25-May-18,ps4,Dark Souls Remastered,From Software,Bandai Namco Games,23-May-18,50
steam,597220,West of Loathing,Asymmetric,Asymmetric,31-May-18,switch,West of Loathing,Asymmetric Publications,Asymmetric Publications,10-Aug-17,62.5
steam,593600,PixARK,Snail Games USA,Snail Games USA,4-Jun-19,ps4,PixARK,Snail Games,Snail Games,31-May-19,76.92307692
steam,603700,The Low Road,XGen Studios,XGen Studios,23-Aug-18,switch,The Low Road,XGenStudios,XGenStudios,26-Jul-17,53.33333333
steam,676820,Subsurface Circular,Bithell Games,Bithell Games,1-Mar-18,switch,Subsurface Circular,Mike Bithell,Mike Bithell,17-Aug-17,77.77777778
steam,675260,Batman: The Enemy Within - The Telltale Series,"LCG Entertainment, Inc.","Athlon Games, Inc.",3-Oct-17,ps4,Batman: The Enemy Within - The Telltale Series,Telltale Games,Telltale Games,8-Aug-17,28.57142857
steam,70,Half-Life,Valve,Valve,31-Dec-98,dreamcast,Half-Life,Gearbox Software,Sierra Entertainment,8-Nov-98,18.18181818
steam,700750,The Battle Of Mahjong,KUSOne Studio Limited,West Dos (HK) LTD.,5-Sep-19,switch,The Battle Of Mahjong,Kusone Studio,Kusone Studio,14-Sep-17,63.15789474
steam,716500,Eliza,Zachtronics,Zachtronics,10-Oct-19,switch,Eliza,Zachtronics Industries,Alliance,12-Aug-19,68.75
steam,717310,Aggelos,Storybird Games,PQube Limited,12-Jul-19,ps4,Aggelos,LookAtMyGame,PQube,19-Jun-18,58.82352941
steam,724460,Palm Reading Premium,Crazysoft Limited,Crazysoft Limited,15-Oct-18,ps4,Palm Reading Premium,CrazySoft,CrazySoft,12-Oct-17,72
steam,735580,11-11 Memories Retold,Aardman Animations,BANDAI NAMCO Entertainment Europe,9-Nov-18,ps4,11-11: Memories Retold,Digixart Entertainment,Bandai Namco Games,8-Nov-18,78.57142857
steam,751640,Dead Dungeon,Alexey Roenko,Alexey Roenko,14-Jun-19,switch,Dead Dungeon,Roenko,Drageus Games,12-Nov-18,66.66666667
steam,755240,Raining Coins,Crazysoft Limited,Crazysoft Limited,18-Jan-18,3ds,Raining Coins,CrazySoft,CrazySoft,6-Dec-17,72
steam,760710,Astrology and Horoscope Premium,Crazysoft Limited,Crazysoft Limited,6-Dec-18,ps4,Astrology and Horoscope Premium,CrazySoft,CrazySoft,13-Dec-17,72
steam,7840,Death Track®: Resurrection,Sky Fallen,1C Entertainment,14-Jun-10,ps3,Death Track: Resurrection,Gaijin Entertainment,Gaijin Entertainment,6-May-09,26.66666667
steam,805660,Rad Rodgers - Radical Edition,Slipgate Ironworks™,HandyGames,26-Feb-19,switch,Rad Rodgers: Radical Edition,Interceptor Entertainment,THQ Nordic,21-Feb-18,42.85714286
steam,814380,Sekiro™: Shadows Die Twice,FromSoftware,Activision (Excluding Japan and Asia),22-Mar-19,ps4,Sekiro: Shadows Die Twice,From Software,Activision,21-Mar-19,50
steam,826040,Sacred Stones,"CFK Co., Ltd.","CFK Co., Ltd.",23-Dec-19,switch,Sacred Stones,"NoxBiX Co,. Ltd.",CFK,23-Jul-18,75
steam,879000,Comanche,NUKKLEAR,THQ Nordic,31-Dec-98,xbox,Comanche,NovaLogic,NovaLogic,12-Mar-20,44.44444444
steam,889130,KnifeBoy,Karl Rune Peter Fredriksson,Karl Rune Peter Fredriksson,31-Dec-97,ps4,Knifeboy,Karl Fredriksson,Karl Fredriksson,18-Oct-19,76.92307692
steam,909570,Spuds Unearthed,Gamedust Sp. z o.o.,Gamedust Sp. z o.o.,24-Apr-20,ps4,Spuds Unearthed,Gamedust,Gamedust,19-Sep-19,61.53846154
steam,910450,Warhammer Quest 2: The End Times,Perchang,Perchang,6-Jan-20,ps4,Warhammer Quest 2: The End Times,Chilled Mouse,Chilled Mouse,30-Jan-19,20
steam,94590,Puzzle Agent 2,"LCG Entertainment, Inc.","Athlon Games, Inc.",31-Dec-98,ps3,Puzzle Agent 2,Telltale Games,Telltale Games,30-Jun-11,28.57142857
steam,987350,PlanetSide Arena,Daybreak Game Company,Daybreak Game Company,31-Dec-97,ps4,PlanetSide Arena,Daybreak Games,Daybreak Games,19-Sep-19,69.56521739
steam,994310,Let's Sing 2019,Voxler,Plug In Digital,16-Jul-19,ps4,Let's Sing 2019,Ravenscourt,THQ Nordic,15-Jul-19,35.29411765
